IDIndikator;skrIndikator;IDCOICOP;nCOICOP;IDTer;nTer;God+Mes;nVrTacka;Vrednost;IDStatusPodatka;nStatusPodatka;IDStatusPoverljivosti;nStatusPoverljivosti;IDJedinicaMere;nJedinicaMere
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201511;2015/novembar;183.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201512;2015/decembar;182.8;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201601;2016/januar;183.8;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201602;2016/februar;183.7;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201603;2016/mart;183.5;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201604;2016/april;184.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201605;2016/maj;184.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201606;2016/jun;184.4;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201607;2016/jul;184.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201608;2016/avgust;185.9;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201609;2016/septembar;184.8;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201610;2016/oktobar;186.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201611;2016/novembar;185.9;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201612;2016/decembar;185.6;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201701;2017/januar;188.3;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201702;2017/februar;189.6;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201703;2017/mart;190.0;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201704;2017/april;191.5;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201705;2017/maj;190.6;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201706;2017/jun;191.0;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201707;2017/jul;190.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201708;2017/avgust;190.5;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201709;2017/septembar;190.7;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201710;2017/oktobar;191.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201711;2017/novembar;191.1;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
03010601IND01;Bazni indeksi (2006 = 100);0000;Ukupno;RS;REPUBLIKA SRBIJA;201712;2017/decembar;191.2;A;Konačan podatak;F;Slobodan za objavlјivanje;I06;indeks, 2006=100
